Date,Description,Amount,Category
2024-01-15,STARBUCKS #1234 SEATTLE WA,-5.45,Dining
2024-01-15,AMAZON.COM AMZN.COM/BILL WA,-29.99,Shopping
2024-01-16,UBER TRIP HELP.UBER.COM CA,-12.50,Transportation
2024-01-16,NETFLIX.COM NETFLIX.COM CA,-15.99,Subscriptions
2024-01-17,TARGET T-1234 SAN FRANCISCO CA,-45.67,Shopping
2024-01-17,CHIPOTLE #1234 SAN FRANCISCO CA,-8.75,Dining
2024-01-18,SALARY DIRECT DEPOSIT,2500.00,Income
2024-01-18,WALMART SUPERCENTER #1234 CA,-23.45,Shopping
2024-01-19,SPOTIFY USA NEW YORK NY,-9.99,Subscriptions
2024-01-19,MCDONALDS #12345 SAN FRANCISCO CA,-7.89,Dining
2024-01-20,PG&E ELECTRIC BILL PAYMENT,-89.45,Utilities
2024-01-20,GAS STATION #1234 SAN FRANCISCO CA,-32.15,Transportation
2024-01-21,COSTCO WHOLESALE #1234 CA,-156.78,Shopping
2024-01-21,APPLE.COM/BILL 866-712-7753 CA,-2.99,Subscriptions
2024-01-22,LYFT RIDE 12/15/23,-18.75,Transportation
2024-01-22,PANERA BREAD #1234 SAN FRANCISCO CA,-11.25,Dining
2024-01-23,WHOLE FOODS MARKET #1234 CA,-67.89,Shopping
2024-01-23,AT&T WIRELESS PAYMENT,-85.00,Utilities
2024-01-24,PAYPAL *AMAZON.COM,-34.99,Shopping
2024-01-24,SUBWAY #12345 SAN FRANCISCO CA,-9.45,Dining
2024-01-25,RENT PAYMENT - APARTMENT,-1200.00,Housing
2024-01-25,CVS PHARMACY #1234 SAN FRANCISCO CA,-15.67,Health
2024-01-26,GOOGLE PLAY MUSIC,-9.99,Subscriptions
2024-01-26,TACO BELL #1234 SAN FRANCISCO CA,-6.75,Dining
2024-01-27,AMAZON PRIME MEMBERSHIP,-14.99,Subscriptions
2024-01-27,7-ELEVEN #1234 SAN FRANCISCO CA,-4.50,Other
2024-01-28,DOORDASH DELIVERY FEE,-3.99,Dining
2024-01-28,BEST BUY #1234 SAN FRANCISCO CA,-299.99,Shopping
2024-01-29,GYM MEMBERSHIP - FITNESS WORLD,-49.99,Health
2024-01-29,DOMINOS PIZZA #1234 SAN FRANCISCO CA,-18.95,Dining
2024-01-30,INTERNET BILL - COMCAST,-65.00,Utilities
2024-01-30,WALGREENS #1234 SAN FRANCISCO CA,-12.34,Health
2024-01-31,BURGER KING #1234 SAN FRANCISCO CA,-8.25,Dining
2024-01-31,HULU SUBSCRIPTION,-7.99,Subscriptions
2024-02-01,SALARY DIRECT DEPOSIT,2500.00,Income
2024-02-01,PIZZA HUT #1234 SAN FRANCISCO CA,-16.75,Dining
2024-02-02,AMAZON FRESH DELIVERY,-45.67,Shopping
2024-02-02,STARBUCKS #5678 SAN FRANCISCO CA,-5.95,Dining
2024-02-03,UBER EATS DELIVERY,-22.45,Dining
2024-02-03,TARGET.COM ONLINE ORDER,-78.90,Shopping
2024-02-04,PHONE BILL - VERIZON,-75.00,Utilities
2024-02-04,KFC #1234 SAN FRANCISCO CA,-9.25,Dining
2024-02-05,COSTCO GAS STATION,-28.50,Transportation
2024-02-05,NETFLIX SUBSCRIPTION,-15.99,Subscriptions
2024-02-06,WHOLE FOODS MARKET #5678 CA,-89.12,Shopping
2024-02-06,CHIPOTLE #5678 SAN FRANCISCO CA,-9.25,Dining
2024-02-07,WATER BILL - CITY OF SF,-45.00,Utilities
2024-02-07,LYFT RIDE 2/7/24,-15.60,Transportation
2024-02-08,AMAZON.COM BOOKS,-23.99,Shopping
2024-02-08,MCDONALDS #5678 SAN FRANCISCO CA,-8.45,Dining
2024-02-09,SPOTIFY PREMIUM,-9.99,Subscriptions
2024-02-09,PANERA BREAD #5678 SAN FRANCISCO CA,-12.75,Dining
2024-02-10,PG&E GAS BILL,-67.89,Utilities
2024-02-10,GAS STATION #5678 SAN FRANCISCO CA,-35.20,Transportation
2024-02-11,COSTCO WHOLESALE #5678 CA,-134.56,Shopping
2024-02-11,APPLE MUSIC SUBSCRIPTION,-4.99,Subscriptions
2024-02-12,UBER TRIP 2/12/24,-19.80,Transportation
2024-02-12,SUBWAY #5678 SAN FRANCISCO CA,-10.25,Dining
2024-02-13,WALMART SUPERCENTER #5678 CA,-56.78,Shopping
2024-02-13,AT&T INTERNET BILL,-55.00,Utilities
2024-02-14,VALENTINES DAY DINNER - RUTH CHRIS,-125.50,Dining
2024-02-14,FLOWERS.COM ORDER,-45.99,Shopping
2024-02-15,APARTMENT RENT PAYMENT,-1200.00,Housing
2024-02-15,CVS PHARMACY #5678 SAN FRANCISCO CA,-18.90,Health
2024-02-16,YOUTUBE PREMIUM,-11.99,Subscriptions
2024-02-16,TACO BELL #5678 SAN FRANCISCO CA,-7.25,Dining
2024-02-17,AMAZON PRIME VIDEO,-8.99,Subscriptions
2024-02-17,7-ELEVEN #5678 SAN FRANCISCO CA,-5.75,Other
2024-02-18,DOORDASH ORDER - SUSHI,-35.67,Dining
2024-02-18,BEST BUY #5678 SAN FRANCISCO CA,-189.99,Shopping
2024-02-19,GYM MEMBERSHIP - 24 HOUR FITNESS,-39.99,Health
2024-02-19,DOMINOS PIZZA #5678 SAN FRANCISCO CA,-21.45,Dining
2024-02-20,COMCAST INTERNET BILL,-65.00,Utilities
2024-02-20,WALGREENS #5678 SAN FRANCISCO CA,-14.67,Health
2024-02-21,BURGER KING #5678 SAN FRANCISCO CA,-9.15,Dining
2024-02-21,DISNEY+ SUBSCRIPTION,-7.99,Subscriptions
2024-02-22,SALARY DIRECT DEPOSIT,2500.00,Income
2024-02-22,PIZZA HUT #5678 SAN FRANCISCO CA,-19.25,Dining
2024-02-23,AMAZON WHOLE FOODS DELIVERY,-52.34,Shopping
